	Breast-03	Breast-08	Breast-100	Breast-10	Breast-15	Breast-16	Breast-21	Breast-33	Breast-42	Breast-454	Breast-48	Breast-50	Breast-55	Breast-564	Breast-56	Breast-590	Breast-59	Breast-603	Breast-60	Breast-61	Breast-85	Breast-86	Breast-97	Breast-ALK-82	Breast-H11	Breast-H31	Breast-H38	Breast-H59	Breast-H63	Breast-H66	Breast-H68	Breast-H74	Breast-H75	Breast-H76	Breast-H81	Breast-H83	Breast-H84	Breast-H89	Breast-H92
Abiotrophia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetanaerobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Achromobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159780872	0
Acidovorax	3.546099291	0.791765637	0	0	1.824817518	0.425129901	0.747384155	0	0	0	0.902708124	0	1.631116688	0	0	0	2.261712439	0	0	0	0	0	1.25984252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.072814426	0
Acinetobacter	0	29.17656374	13.97058824	11.11111111	3.284671533	11.95087388	41.77877429	7.191624943	0	7.228915663	24.17251755	3.333333333	6.52446675	0	2.728731942	32.98969072	8.481421648	0	7.662835249	28.40909091	5.813953488	0	1.338582677	0	0	0	1.711652403	0	6.25	1.540522438	1.351351351	1.524390244	0	1.054481547	0	0	0	0.867381876	7.603635558
Actinobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces	0	0	0	0	0	0	0	0	0	0	0.601805416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.032520325	0	0	0.630630631	0	0	0	0	0	0	0.319561744	0.310352472
Aeribacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aggregatibacter	0	0	0	0	0	0	0	0.227583068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Agrobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alcaligenes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algoriella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
